k,p,theta,X,r,J,true_gradient_quadrature,estimated_gradient,Q_quadrature,raw_cost,next_theta,next_X,next_r
21,0.3,-4.456487868655961e-05,1.1688538695022535,1.182390147282495,-0.019381609007271754,-0.009637164812060962,0.0036268393221672423,-0.009637164812060965,262,-3.436470925446184e-05,1.1454773130105171,1.178698863855297
22,0.3,-3.436470925446184e-05,1.1454773130105171,1.178698863855297,-0.04716943409418515,-3.517211050376584e-05,-0.028909579118546247,-3.5172110503765706e-05,294,-0.00011567038039833773,1.122568160390255,1.1730857935087928
23,0.3,-0.00011567038039833773,1.122568160390255,1.1730857935087928,-0.08363932342394151,0.005915668738936512,-0.03251489285334977,0.0059156687389365125,294,-0.00020711568213629521,1.1450182251192003,1.1702790366698337
24,0.3,-0.00020711568213629521,1.1450182251192003,1.1702790366698337,-0.034346584895638674,-0.004274937157174933,-0.028418285503585432,-0.004274937157174932,376,-0.0002870396328155012,1.1221202321291153,1.1654631562157618
25,0.6,-0.0002870396328155012,1.1221202321291153,1.1654631562157618,-0.03470687857345559,0.01818985792483509,0.021016908933116047,0.01818985792483509,366,-0.00022793140854251322,1.0996810484163049,1.158884945435816
26,0.6,-0.00022793140854251322,1.0996810484163049,1.158884945435816,-0.07245045467947053,0.020727855235525124,0.007713239776014934,0.02072785523552512,286,-0.00020623859405666646,1.0776899339664712,1.1507654442888815
27,0.6,-0.00020623859405666646,1.0776899339664712,1.1507654442888815,-0.10866063567116245,0.020159847800770694,0.022431215317481094,0.020159847800770698,356,-0.00014315275636660532,1.056138357899702,1.1413027356499637
28,0.6,-0.00014315275636660532,1.056138357899702,1.1413027356499637,-0.14005549792591132,0.019427677321871215,0.0025655116867884793,0.019427677321871218,338,-0.00013593747839017923,1.0350171026328756,1.1306741723482547
29,0.6,-0.00013593747839017923,1.0350171026328756,1.1306741723482547,-0.1670251339475079,0.018763330636390588,0.034202266858741615,0.018763330636390588,354,-3.9746584355061635e-05,1.055716037709385,1.1231783588843678
30,0.6,-3.9746584355061635e-05,1.055716037709385,1.1231783588843678,-0.09574755774808703,0.019856187148712776,0.00803612173245793,0.019856187148712776,356,-1.714569251322168e-05,1.0768299388525073,1.1185435168811817
31,0.6,-1.714569251322168e-05,1.0768299388525073,1.1185435168811817,-0.0331286358509226,0.01733855022055241,0.055666055149038274,0.01733855022055241,312,0.00013941023503125923,1.0983663529996073,1.1165258004930243
32,0.6,0.00013941023503125923,1.0983663529996073,1.1165258004930243,-0.0068459759599399095,0.0016854739757333915,0.014116733649411324,0.0016854739757333882,372,0.0001791123178259686,1.0763974947045034,1.1125129699141723
33,0.6,0.0001791123178259686,1.0763974947045034,1.1125129699141723,-0.023876431541802443,0.013899756669480769,0.018002438305294566,0.013899756669480774,290,0.00022974260623785325,1.0548676168499167,1.1067484346077467
34,0.6,0.00022974260623785325,1.0548676168499167,1.1067484346077467,-0.05670537666108644,0.01963363285004791,-0.005194736866313851,0.019633632850047916,328,0.0002151328616407579,1.0759673926672597,1.103670330413698
35,0.6,0.0002151328616407579,1.0759673926672597,1.103670330413698,-0.013888565025377164,0.007705876367757899,0.017870302429852606,0.007705876367757901,254,0.0002653915294216075,1.0544457300544814,1.0987478703777764
36,0.6,0.0002653915294216075,1.0544457300544814,1.0987478703777764,-0.039153279272265105,0.01829418959136011,0.01748013589561957,0.018294189591360106,306,0.00031455288783680994,1.0333540170437583,1.0922084850443747
